2015-09-20T18:19:58.535+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:58.535+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:58.536+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:58.536+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:58.537+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:58.538+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:00.540+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:00.541+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:00.542+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:00.542+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:00.543+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:00.543+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:02.549+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:02.549+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:02.550+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:02.550+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:02.551+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:02.552+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:04.556+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:04.556+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:04.557+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:04.557+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:04.558+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:04.558+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:06.559+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:06.559+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:06.560+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:20:06.560+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:20:06.561+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
